species,Model,AIC,deltaAIC,w
Chazara briseis,May,89.72118833164755,0,0.28342762021117746
Chazara briseis,MayJun,91.46953223499253,1.7483439033449741,0.11824808479470836
Chazara briseis,AprMayJun,91.55488983765403,1.8337015060064772,0.11330757567672094
Chazara briseis,MayJunJul,92.90090307997806,3.179714748330511,0.057806394931342715
Chazara briseis,Oct_preNov_preDec_pre,93.60317672685379,3.8819883952062355,0.04068919528416303
Coenonympha dorus,JanFeb,39.17345739689341,0,0.6626488823254146
Coenonympha dorus,Dec_preJanFeb,40.853836531785696,1.6803791348922843,0.2860182709457514
Erebia hispania,FebMar,61.018290475118214,0,0.13368152539570216
Erebia hispania,JulAugSep,61.215275430775954,0.1969849556577401,0.12114253374713323
Erebia hispania,JanFebMar,61.66801522320947,0.6497247480912591,0.09660185278235407
Erebia hispania,MayJunJul,62.022858229761404,1.0045677546431904,0.08089697388172502
Erebia hispania,JulAug,62.34577557360854,1.3274850984903281,0.06883537234753288
Erebia hispania,May,62.416076451208895,1.397785976090681,0.06645780978364914
Erebia hispania,JunJulAug,62.69540859429203,1.6771181191738194,0.05779494039538736
Erebia hispania,Jul,62.86901543918133,1.8507249640631187,0.05298971366853985
Erebia hispania,MayJun,63.01463795218601,1.9963474770677934,0.04926858005570893
Erebia hispania,JunJul,63.15585565494553,2.1375651798273196,0.04590975882837612
Erebia hispania,Feb,64.06417832011425,3.045887844996038,0.029151791606103192
Erebia hispania,Sep,64.56340188405947,3.54511140894126,0.02271225372580939
Erebia hispania,AprMayJun,64.61358498087876,3.595294505760542,0.022149458342777265
Erebia hispania,Jun,64.75687999622606,3.7385895211078477,0.020618021727128014
Euphydryas aurinia,MarAprMay,179.17588557563494,0,0.34917674756627226
Euphydryas aurinia,May,179.864017830168,0.688132254533059,0.24752512865061418
Euphydryas aurinia,AprMay,180.05444918344133,0.8785636078063987,0.22504411060425947
Euphydryas aurinia,AprMayJun,181.36125830072896,2.1853727250940267,0.11708402875139734
Fabriciana niobe,MarAprMay,130.22492231458637,0,0.4532416296235588
Fabriciana niobe,AprMay,130.41073704289238,0.18581472830601342,0.41302908650374937
Fabriciana niobe,AprMayJun,132.7799897580545,2.555067443468147,0.12632925837281392
Hipparchia fidia,AprMayJun,101.81183352545166,0,0.3540203523485902
Hipparchia fidia,Jun,103.31430807828082,1.502474552829156,0.16702059490151766
Hipparchia fidia,AprMay,103.78213317565923,1.970299650207565,0.1321852805438331
Hipparchia fidia,MarAprMay,104.81002225953979,2.9981887340881315,0.07906418863691451
Hipparchia fidia,MayJun,105.36515387530162,3.5533203498499546,0.059901061673708254
Hipparchia hermione,Sep,176.56435540068918,0,0.2308430816515005
Hipparchia hermione,JulAugSep,177.84774207160086,1.283386670911682,0.12151586665736709
Hipparchia hermione,AugSep,178.7044526447889,2.1400972440997066,0.07917729333774953
Hipparchia hermione,Nov_preDec_pre,178.83677961005202,2.272424209362839,0.07410819165196374
Hipparchia hermione,Apr,179.15029005710844,2.585934656419255,0.0633560783760524
Hipparchia hermione,Nov_preDec_preJan,179.29290316706178,2.7285477663726,0.05899568444890063
Hipparchia hermione,Oct_pre,179.9165448090411,3.352189408351933,0.04319148957684628
Hipparchia hermione,JunJulAug,180.54494397214557,3.980588571456394,0.03154590838075185
Hipparchia semele,JulAug,225.54124037216292,0,0.1001175605646791
Hipparchia semele,JulAugSep,226.10123760359252,0.5599972314296053,0.07566732925408468
Hipparchia semele,Dec_preJan,226.41384843237273,0.8726080602098136,0.0647181100933455
Hipparchia semele,JanFebMar,226.89782311312715,1.3565827409642282,0.0508079953342447
Hipparchia semele,Nov_preDec_preJan,226.9381992695481,1.3969588973851899,0.04979256384297794
Hipparchia semele,Oct_preNov_preDec_pre,226.95475733858072,1.4135169664178022,0.049382031239966984
Hipparchia semele,Dec_pre,227.35956389120284,1.8183235190399216,0.0403335384168788
Hipparchia semele,Jul,227.55769633138857,2.0164559592256524,0.03652938925023287
Hipparchia semele,Mar,227.58935484073325,2.0481144685703327,0.03595570869125381
Hipparchia semele,Dec_preJanFeb,227.66106686339413,2.1198264912312084,0.03468931989375926
