species,site_id,mk_tau,mk_pvalue,sen_slope,sen_stats,sen_pvalue,lm_slope,lm_pvalue,lm_rsquared,transecto,id_transect,abb_elev,abreviatura,altitud
Iphiclides feisthamelii,45,0.2777777910232544,0.3480825424194336,1.6,0.9383148632568366,0.3480826236329239,1.8833333333333624,0.4682318779176282,0.07750060694343866,Dúrcal,16_45,DU (1950),DU,1950
Iphiclides feisthamelii,48,0.2777777910232544,0.3480825424194336,1.6,0.9383148632568366,0.3480826236329239,1.8833333333333624,0.4682318779176282,0.07750060694343866,Pitres,16_48,PI (1379),PI,1379
Iphiclides feisthamelii,49,0.6000000238418579,0.22067129611968994,6.833333333333334,1.224744871391589,0.2206713619198468,4.00000000000018,0.1530940286258927,0.5470692717584399,Turbera,16_49,TU (745),TU,745
Issoria lathonia,14,0.08989331126213074,0.7876157760620117,0.6666666666666666,0.26940795304016235,0.7876157667022056,0.7405303030302499,0.7290969890444556,0.015829179339863338,Laguna seca,16_14,LS (2282),LS,2282
Issoria lathonia,15,0.29276999831199646,0.4475208520889282,2.6,0.7595545253127499,0.4475209101304693,2.229838709676915,0.16420365765642847,0.34676625603246547,Altas cumbres,16_15,AC (3126),AC,3126
Issoria lathonia,16,0.036369651556015015,1,0.125,0,1,-0.10593900481535326,0.9698343861117082,2.5892365271108764e-4,Borreguiles San Juan,16_16,BOSJ (2545),BOSJ,2545
Issoria lathonia,17,0,1,-0.625,-0,1,0.010294117647304977,0.9969005596194278,2.31477107397403e-6,Loma de Papeles Alto,16_17,PA (2400),PA,2400
Issoria lathonia,18,0.11009638011455536,0.6962153911590576,1,0.3904344047215152,0.6962153512437399,0.9000000000000052,0.6511911283575647,0.023717452327944907,Loma de Papeles Bajo,16_18,PB (2121),PB,2121
Issoria lathonia,21,0.08451542258262634,0.8339354991912842,0.375,0.20965696734438366,0.833935414088552,0.14819004524883192,0.9413285626186427,8.306048231897352e-4,Matas Verdes,16_21,MV (1919),MV,1919
Issoria lathonia,23,0.0555555559694767,0.9169652462005615,1.125,0.10425720702853739,0.9169652366288644,0.18648648648633323,0.9344610122613978,0.0010367873312019074,Robledal Dílar,16_23,DI (1720),DI,1720
Issoria lathonia,24,0.11009638011455536,0.6962153911590576,1,0.3904344047215152,0.6962153512437399,0.9000000000000052,0.6511911283575647,0.023717452327944907,Campos de Otero,16_24,CO (2248),CO,2248
